run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_0155899e,unimodal,30.0,0.25,0.1,1.8,0.0,Duran,0.06746666666666669,2000,2,7.606091127037888,1.8686399112062455,0.0069416066423370094,14,6,6,0,0,0.007,980330
run_c4f5042b,unimodal,30.0,0.25,0.1,1.8,0.25,Hersen,0.06746666666666669,2000,63,25.795343549562197,13.767576202961273,0.020592734710485307,224,24,19,5,0,0.112,980330
run_3cdc5cc8,unimodal,30.0,0.25,0.1,1.8,0.25,Duran,0.06746666666666669,2000,3,18.433797974116967,3.440929595040539,0.0012127342817822356,17,2,2,0,0,0.0085,980330
run_fa7ff72d,unimodal,30.0,0.25,0.1,1.8,0.5,Hersen,0.06746666666666669,2000,61,22.76723248278815,7.356102159905237,0.01842803265516816,482,145,137,8,0,0.241,980330
run_544d118d,unimodal,30.0,0.25,0.1,1.8,0.5,Duran,0.06746666666666669,2000,4,11.917771574349414,1.9521906962575748,0.10749060490047421,99,42,42,0,0,0.0495,980330
run_c307dbcb,unimodal,30.0,0.25,0.15,1.8,0.0,Hersen,0.06746666666666669,2000,61,23.468598328302335,5.591414792911766,0.012078471179200531,34,20,5,9,6,0.017,980330
run_253bf137,unimodal,30.0,0.25,0.15,1.8,0.0,Duran,0.06746666666666669,2000,3,13.74444671253517,1.4786341981959787,0.0015765729043329278,11,6,5,1,0,0.0055,980330
run_a47b3e72,unimodal,30.0,0.25,0.15,1.8,0.25,Hersen,0.06746666666666669,2000,64,24.483067864473636,8.947538807985993,0.019932540499962834,103,15,4,9,2,0.0515,980330
run_ee4a9f0c,unimodal,30.0,0.25,0.15,1.8,0.25,Duran,0.06746666666666669,2000,5,15.843288415960211,5.270807325235407,0.0032646099855939427,10,2,2,0,0,0.005,980330
run_46936142,unimodal,30.0,0.25,0.15,1.8,0.5,Hersen,0.06746666666666669,2000,60,23.68785480621133,12.68095731050156,0.035063174536158176,311,99,86,10,3,0.1555,980330
